id,name,description,price,countInStock,brand,weight,rating,slug_product,image_product,category
1,Chino Pants Erigo,"Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. hari. Memiliki live-button, resleting, belt loop, dan 4 saku simpel pada bagian pinggul.",129000,3900,Erigo,1,4,chino-pants-erigo,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Chino_Pants_Erigo_zfp7m7,1
2,Erigo Coach Jacket Fujinkai Black Unisex,"Coach Jacket Erigo saat ini Mengeluarkan Design terbaru, Coach Jaket Erigo merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia",155000,260,Erigo,1,5,erigo-coach-jacket-fujinkai-black-unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Coach_Jacket_Fujinkai_Black_Unisex_yvg5ss,1
3,Erigo T-Shirt Kuina Navy Unisex,T-Shirt Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Dibuat dengan bahan cotton yang nyaman untuk menemani harimu dan memiliki print desain yang unik,250000,3000,Erigo,1,5,erigo-t-shirt-kuina-navy-unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_T-Shirt_Kuina_Navy_Unisex_ogxuju,1
4,Erigo Chino Pants Beryl Emerald Unisex,Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Chino Pants are undoubtedly an,149000,3000,Erigo,1,5,erigo-chino-pants-beryl-emerald-unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Chino_Pants_Beryl_Emerald_Unisex_vqsl1h,1
5,Erigo Jogger Pants Jessie Black,Deskripsi produk 5,149000,3000,Erigo,1,5,erigo-jogger-pants-jessie-black,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Jogger_Pants_Jessie_Black_gvcufn,1
6,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,Deskripsi produk 6,14900,3000,Robot,1,5,robot-mousepad-anti-slip-rp05-gaming-polos-hitam-murah-rubber-original,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_-_Mousepad_Anti_Slip_RP05_Gaming_Polos_Hitam_Murah_Rubber_Original_nji9db,2
7,Mouse Wireless ROBOT M205 2.4G 1600DPI,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,89900,3000,Robot,1,5,mouse-wireless-robot-m205-24g-1600dpi,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Mouse_Wireless_ROBOT_M205_tbpfqe,2
8,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100,Deskripsi produk 8,151900,3000,Robot,1,5,robot-portable-mini-wireless-set-combo-keyboard-and-mouse-km3100,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_Portable_Mini_Wireless_r7bbcv,2
9,Robot TWS Wireless Earphone Airbuds T30,Deskripsi produk 9,134900,3000,Robot,1,5,robot-tws-wireless-earphone-airbuds-t30,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Robot_TWS_Wireless_Earphone_Airbuds_gdufk3,2
10,ROBOT Stand Holder Laptop Portable,Deskripsi produk 10,45900,3000,Robot,1,5,robot-stand-holder-laptop-portable,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_Stand_Holder_Laptop_Portable_Lipat_l_o76rsl,2
11,SanDisk CZ50 Cruzer Blade USB 2.0 - 8 GB,"Design yang kecil memudahkan koneksi ke perangkat USB apa saja. Meskipun berukuran kecil, SanDisk Cruzer Blade ini mempunyai kapasitas yang cukup untuk menyimpan data-data anda. Didukung aplikasi SanDisk SecureAccess",38500,3000,Sandisk,1,5,sandisk-cz50-cruzer-blade-usb-20-8-gb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/SanDisk_CZ50_Cruzer_Blade_USB_2.0_-_8_GB_fc7fl0,2
12,SanDisk Max Endurance 128GB 100MB/s MicroSDXC - 4K Ultra HD,SanDisk Max Endurance 128GB 100MB/s MicroSDXC,541500,3000,Sandisk,1,5,sandisk-max-endurance-128gb-100mbs-microsdxc-4k-ultra-hd,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_fsbat3,2
13,SanDisk SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,541500,3000,Sandisk,1,5,sandisk-ssd-plus-solid-240gb-speed-upto-530mbs,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_hqqcs4,2
14,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,124500,3000,Sandisk,1,5,sandisk-flashdisk-128gb-usb-flash-128gb-sandisk-blade-cz50-128gb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_rkeg71,2
15,Sandisk Ultra Micro SDXC UHS 128 GB,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,178000,3000,Sandisk,1,5,sandisk-ultra-micro-sdxc-uhs-128-gb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Sandisk_Ultra_Micro_SDXC_b2y8iv,2
16,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),"MS30 is a M.2 (NGFF, Next Generation Form Factor) high speed solid state drive of the latest generation. It has the latest SATA III 6Gb/s",3020000,3000,Team-group,1,5,teamgroup-ssd-m2-sata-2280-ms30-2tb-2000gb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_gipijx,2
17,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,285000,3000,Team-group,1,5,teamgroup-ssd-25-cx2-series-256gb-sata3,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_kivlqi,2
18,TEAMGROUP SSD 2.5 GX2 128GB Grey,TEAMGROUP SSD 2.5 GX2 128GB Grey,220000,3000,Team-group,1,5,teamgroup-ssd-25-gx2-128gb-grey,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_ockysj,2
19,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,240000,3000,Team-group,1,5,teamgroup-elite-plus-memory-ddr4-4gb-pc-2666mhz-21300-black,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_zvelbv,2
20,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),297000,3000,Team-group,1,5,teamgroup-ssd-team-mp33-256gb-m2-nvme-1800mbs,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_qo08r0,2
21,GM Bear Panci Listrik Fry Pan Electric (2in1),"GM Bear Panci Listrik Serbaguna hanya dengan satu alat, masak jadi gampang banget! Mengukus, merebus, mamasak mie, membuat hot pot bersama keluarga hingga memanaskan makanan jadi gampang banget loh!",99000,3000,Gm,1,5,gm-bear-panci-listrik-fry-pan-electric-2in1,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_lrqycc,3
22,GM Bear Spatula Set isi 6psc 1073 - Utensil Spatula Sutil Set,"Spatula adalah salah satu alat masak wajib yang harus dimiliki setiap dapur. Namun, untuk memaksimalkan proses memasak, dibutuhkan berbagai jenis spatula. Menghadirkan satu set peralatan masak spatula lengkap yang memiliki fungsi lengkap sehingga",26010,3000,Gm,1,5,gm-bear-spatula-set-isi-6psc-1073-utensil-spatula-sutil-set,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_ulrla6,3
23,GM Bear Wajan 16cm 1072 - Fry Pan Penggorengan Mini,"Solusi praktis memasak untuk kamu yang tinggal sendiri atau ngekost maupun suka masak porsi kecil. Simple, ringan dan mudah dibersihkan.",34900,3000,Gm,1,5,gm-bear-wajan-16cm-1072-fry-pan-penggorengan-mini,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_sywntz,3
24,GM Bear Organizer Rak Multifungsi P0177,Organizer meja serta lemari serbaguna yang di design untuk menciptakan kerapihan dan memudahkan pengguna dalam mengambil pakaian hingga barang-barang lain,124500,3000,Gm,1,5,gm-bear-organizer-rak-multifungsi-p0177,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_dsbezx,3
25,GM Bear Alat Pemanggang Daging Hotpot Elektrik (2 in 1) 1247,2 in 1 Grill and Pan elektrik ini bisa Anda gunakan untuk memanggang atau menggoreng BBQ makanan favorit anda dan memasak hot pot sekaligus dalam satu waktu,34900,3000,Gm,1,5,gm-bear-alat-pemanggang-daging-hotpot-elektrik-2-in-1-1247,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_esf4lz,3
26,Rinnai Kompor Gas 3 Tungku RI 524 E,Kompor gas dua tungku dan satu tungku untuk grill pan. Kompor series ini dapat,874700,3000,Rinnai,1,5,rinnai-kompor-gas-3-tungku-ri-524-e,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_zqsj6z,3
27,Rinnai Kompor Gas 1 Tungku RI TL 289 / TL289,Rinnai Kompor Gas 1 Tungku Low Pressure – TL289F merupakan salah satu kompor terbaik untuk bidang komersial. Bertipe low pressure atau tekanan gas yang rendah,696000,3000,Rinnai,1,5,rinnai-kompor-gas-1-tungku-ri-tl-289-tl289,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_tnsykb,3
28,Rinnai Sparepart Burner Head Tornado Kompor Seri 5/6/7,"Kepala Tungku Besar Api Tornado Original Kompor Rinnai. Untuk Tipe berikut : RI-602 BGX, RI-712 BGX, RI-511 T, RI-712 T, RI-712 TG",87100,3000,Rinnai,1,5,rinnai-sparepart-burner-head-tornado-kompor-seri-567,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_munlob,3
29,Rinnai Kompor Gas 1 Tungku RI 301S / 301S,Rinnai Kompor 1 Tungku – RI301S merupakan salah satu kompor gas Rinnai yang ekonomis. Memiliki tipe api sun burner yang menjadikan apinya menyala merata dan stabil tanpa pembuangan gas secara besar.,220900,3000,Rinnai,1,5,rinnai-kompor-gas-1-tungku-ri-301s-301s,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_smwegj,3
30,Rinnai Kompor Gas 2 Tungku RI 2 RSP / 2 RSP,"Rinnai Kompor Gas RI-2RSP dengan desain finishing berwarna menawan membuat dapur Anda terlihat lebih modern dan rapi, cocok untuk Anda yang memperhatikan keindahan dapur Anda. Selain memperhatikan",1859300,3000,Rinnai,1,5,rinnai-kompor-gas-2-tungku-ri-2-rsp-2-rsp,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_acfacx,3
31,Xiaomi TV A2 43 [FHD] Smart HD Dolby Audio,Memiliki desain layar penuh. Desain bezel ultra-tipis menghadirkan rasio antara layar dan bodi yang jauh lebih baik dibandingkan TV standar.,2790000,3000,Xiaomi,1,5,xiaomi-tv-a2-43-fhd-smart-hd-dolby-audio,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_sbbln7,4
32,Xiaomi Redmi Buds 4 Active - Bluetooth® 5.3,"Dengan Driver Dinamis 12mm yang lebih besar dari sebelumnya oleh penyetelan ahli oleh Xiaomi Acoustic Lab, Redmi Buds 4 Active dapat menghadirkan bass dan akustik yang ditingkatkan, memberikan pengalaman mendengarkan yang menyenangkan",249000,3000,Xiaomi,1,5,xiaomi-redmi-buds-4-active-bluetooth-53,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_i5yjt7,4
33,Xiaomi POCO X5 Pro 5G (6GB/128GB),Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon 778G 5G 120Hz AMOLED 67W 108MP NFC,3819000,3000,Xiaomi,1,5,xiaomi-poco-x5-pro-5g-6gb128gb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_yxqx7q,4
34,Xiaomi TV Box S (2nd Gen) 4K Ultra HD,"4K Ultra HD memiliki resolusi 3840 x 2160 piksel, yang empat kali lebih banyak dari resolusi Full HD (1920 x 1080 piksel).",1044802,3000,Xiaomi,1,5,xiaomi-tv-box-s-2nd-gen-4k-ultra-hd,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_jv1m6a,4
35,Xiaomi POCO M5 (4/64GB),POCO M5 menggunakan prosesor octa-core MediaTek Helio G99 memiliki arsitektur CPU terdepan di industri dan GPU MC2 Mali-G57 tangguh yang mampu menghasilkan performa hebat untuk pengalaman pengguna yang mengesankan.,1599000,3000,Xiaomi,1,5,xiaomi-poco-m5-464gb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_ohe4so,4
36,BARDI Smart Indoor PTZ IP Camera CCTV,BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD,108000,3000,Bardi,1,5,bardi-smart-indoor-ptz-ip-camera-cctv,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_l6ftgr,4
37,BARDI Smart LIGHT BULB,"BARDI Smart Light Bulb dapat mengubah suasana dengan pengaturan tingkat keterangan dan warna. Untuk memudahkan pengguna, warna dibagi menjadi 2 pengaturan yaitu ke warm white (2700-6500k), dan beragam warna (RGB).",120000,3000,Bardi,1,5,bardi-smart-light-bulb,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_pbrdux,4
38,BARDI Smart UNIVERSAL IR REMOTE,BARDI Universal IR Remote 12M merupakan remote infrared pintar yang dapat dikendalikan melalui aplikasi selama BARDI Universal IR Remote 12M terhubung ke wifi/hotspot.,135000,3000,Bardi,1,5,bardi-smart-universal-ir-remote,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_gdr2gt,4
39,BARDI Dual Smart Plug,"BARDI Dual Smart Plug merupakan steker pintar yang bisa diatur melalui aplikasi. Dengan plug ini, segala perangkat dengan daya listrik 220v dapat diputus atau disambungkan arus listrik sesuai keinginan.",15000,3000,Bardi,1,5,bardi-dual-smart-plug,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_ifapol,4
40,BARDI Bundling Smart IP Camera CCTV Outdoor PTZ + Micro SD,BARDI Universal IR Remote 12M merupakan remote infrared pintar yang dapat dikendalikan melalui aplikasi selama BARDI Universal IR Remote 12M terhubung ke wifi/hotspot.,230000,3000,Bardi,1,5,bardi-bundling-smart-ip-camera-cctv-outdoor-ptz-micro-sd,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_jpjeqa,4
